location,DMA,geo_code
Norfolk-Portsmouth-Newport News VA,NORFOLK (VA) - PORTSMOUTH (VA) - NEWPORT NEWS (VA)                   ,US-NA-544
North Platte NE,NORTH PLATTE (NE)                                                    ,US-NE-740
Odessa-Midland TX,ODESSA (TX) - MIDLAND (TX)                                           ,US-TX-633
Oklahoma City OK,OKLAHOMA CITY (OK)                                                   ,US-OK-650
Omaha NE,OMAHA (NE)                                                           ,US-NE-652
Orlando-Daytona Beach-Melbourne FL,ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ,US-FL-534
Ottumwa IA-Kirksville MO,OTTUMWA (IA) - KIRKSVILLE (MO)                                       ,US-IA-631
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,PADUCAH (KY) - CAPE GIRARDEAU (MO) - HARRISBURG (IL) - MT VERNON (KS),US-KY-632
Palm Springs CA,,US-CA-804
Panama City FL,PANAMA CITY (FL)                                                     ,US-FL-656
Parkersburg WV,PARKERSBURG (WV)                                                     ,US-WV-597
Peoria-Bloomington IL,PEORIA (IL) - BLOOMINGTON (IL)                                       ,US-IL-675
Philadelphia PA,PHILADELPHIA (PA)                                                    ,US-PA-504
Phoenix AZ,PHOENIX (AZ)                                                         ,US-AZ-753
Pittsburgh PA,PITTSBURGH (PA)                                                      ,US-PA-508
Portland OR,PORTLAND (OR)                                                        ,US-OR-820
Portland-Auburn ME,PORTLAND (ME) - AUBURN (ME)                                          ,US-ME-500
Presque Isle ME,PRESQUE ISLE (ME)                                                    ,US-ME-552
Providence RI-New Bedford MA,PROVIDENCE (RI) - NEW BEDFORD (MA)                                   ,US-RI-521
Quincy IL-Hannibal MO-Keokuk IA,QUINCY (IL) - HANNIBAL (MO) - KEOKUK (IA)                            ,US-IL-717
Raleigh-Durham (Fayetteville) NC,RALEIGH (NC) - DURHAM (NC) - FAYETTEVILLE (NC)                       ,US-NC-560
Rapid City SD,RAPID CITY (SD)                                                      ,US-SD-764
Reno NV,RENO (NV)                                                            ,US-NV-811
Richmond-Petersburg VA,RICHMOND (VA) - PETERSBURG (VA)                                      ,US-VA-556
Roanoke-Lynchburg VA,ROANOKE (VA) - LYNCHBURG (VA)                                        ,US-VA-573
Rochester MN-Mason City IA-Austin MN,ROCHESTER (MN) - MASON CITY (IA) - AUSTIN (MN)                       ,US-MN-611
Rochester NY,ROCHESTER (NY)                                                       ,US-NY-538
Rockford IL,ROCKFORD (IL)                                                        ,US-IL-610
Sacramento-Stockton-Modesto CA,SACRAMENTO (CA) - STOCKTON (CA) - MODESTO (CA)                       ,US-CA-862
Salisbury MD,SALISBURY (MD)                                                       ,US-MD-576
Salt Lake City UT,SALT LAKE CITY (UT)                                                  ,US-UT-770
San Angelo TX,SAN ANGELO (TX)                                                      ,US-TX-661
San Antonio TX,SAN ANTONIO (TX)                                                     ,US-TX-641
San Diego CA,SAN DIEGO (CA)                                                       ,US-CA-825
San Francisco-Oakland-San Jose CA,SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)                    ,US-CA-807
Santa Barbara-Santa Maria-San Luis Obispo CA,SANTA BARBARA (CA) - SAN MARCOS (CA) - SAN LUIS OBISPO (CA)          ,US-CA-855
Savannah GA,SAVANNAH (GA)                                                        ,US-GA-507
Seattle-Tacoma WA,SEATTLE (WA) - TACOMA (WA)                                           ,US-WA-819
Sherman TX-Ada OK,SHERMAN (TX) - ADA (OK)                                              ,US-TX-657
Shreveport LA,SHREVEPORT (LA)                                                      ,US-LA-612
Sioux City IA,SIOUX CITY (IA)                                                      ,US-IA-624
Sioux Falls(Mitchell) SD,SIOUX FALLS (SD) - MITCHELL (SD)                                     ,US-SD-725
South Bend-Elkhart IN,SOUTH BEND (IN) - ELKHART (IN)                                       ,US-IN-588
Spokane WA,SPOKANE (WA)                                                         ,US-WA-881
Springfield MO,SPRINGFIELD (MO)                                                     ,US-MO-619
Springfield-Holyoke MA,SPRINGFIELD (MA) - HOLYOKE (MA)                                      ,US-MA-543
St. Joseph MO,ST. JOSEPH (MO)                                                      ,US-MO-638
St. Louis MO,ST. LOUIS (MO)                                                       ,US-MO-609
Syracuse NY,SYRACUSE (NY)                                                        ,US-NY-555
Tallahassee FL-Thomasville GA,TALLAHASSEE (FL) - THOMASVILLE (GA)                                  ,US-FL-530
Tampa-St. Petersburg (Sarasota) FL,TAMPA (FL) - ST. PETERSBURG (FL) - SARASOTA (FL)                     ,US-FL-539
Terre Haute IN,TERRE HAUTE (IN)                                                     ,US-IN-581
Toledo OH,TOLEDO (OH)                                                          ,US-OH-547
Topeka KS,TOPEKA (KS)                                                          ,US-KS-605
Traverse City-Cadillac MI,TRAVERSE CITY (MI) - CADILLAC (MI)                                   ,US-MI-540
Tri-Cities TN-VA,"TRI-CITIES, TN-VA                                                    ",US-TN-531
Tucson (Sierra Vista) AZ,TUCSON (AZ) - SIERRA VISTA (AZ)                                      ,US-AZ-789
Tulsa OK,TULSA (OK)                                                           ,US-OK-671
Twin Falls ID,TWIN FALLS (ID)                                                      ,US-ID-760
Tyler-Longview(Lufkin & Nacogdoches) TX,TYLER (TX) - LONGVIEW (TX) - LUFKIN (TX) - NACOGDOCHES (TX)          ,US-TX-709
Utica NY,UTICA (NY)                                                           ,US-NY-526
Victoria TX,VICTORIA (TX)                                                        ,US-TX-626
Waco-Temple-Bryan TX,WACO (TX) - TEMPLE (TX) - BRYAN (TX)                                 ,US-TX-625
Washington DC (Hagerstown MD),WASHINGTON (DC) - HAGERSTOWN (MD)                                    ,US-DC-511
Watertown NY,WATERTOWN (NY)                                                       ,US-NY-549
Wausau-Rhinelander WI,WAUSAU (WI) - RHINELANDER (WI)                                       ,US-WI-705
West Palm Beach-Ft. Pierce FL,WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ,US-FL-548
Wheeling WV-Steubenville OH,WHEELING (WV) - STEUBENVILLE (OH)                                    ,US-WV-554
Wichita Falls TX & Lawton OK,WICHITA FALLS (TX) - LAWTON (OK)                                     ,US-TX-627
Wichita-Hutchinson KS,WICHITA (KS) - HUTCHINSON (KS)                                       ,US-KS-678
Wilkes Barre-Scranton PA,WILKES BARRE (PA) - SCRANTON (PA)                                    ,US-PA-577
Wilmington NC,WILMINGTON (NC)                                                      ,US-NC-550
Yakima-Pasco-Richland-Kennewick WA,YAKIMA (WA) - PASCO (WA) - RICHLAND (WA) - KENNEWICK (WA)            ,US-WA-810
Youngstown OH,YOUNGSTOWN (OH)                                                      ,US-OH-536
Yuma AZ-El Centro CA,YUMA (AZ) - EL CENTRO (CA)                                           ,US-AZ-771
Zanesville OH,ZANESVILLE (OH)                                                      ,US-OH-596
