"","id","w_retail_and_recreation_percent_change_from_baseline","w_grocery_and_pharmacy_percent_change_from_baseline","w_workplaces_percent_change_from_baseline"
"9961","20200215_JOHNSTOWN (PA) - ALTOONA (PA)",7.78881009621849,4.52492053503719,2.87336431256757
"9962","20200216_JOHNSTOWN (PA) - ALTOONA (PA)",11.7461692778504,4.72264038810096,3.46771114015414
"9963","20200217_JOHNSTOWN (PA) - ALTOONA (PA)",9.71431740807074,2.49056370373956,-15.700788195621
"9964","20200218_JOHNSTOWN (PA) - ALTOONA (PA)",3.77042827715658,1.15823611985091,0.100213251152309
"9965","20200219_JOHNSTOWN (PA) - ALTOONA (PA)",3.72653833949153,0.83632503455583,1.19036900785775
"9966","20200220_JOHNSTOWN (PA) - ALTOONA (PA)",3.58007002597738,0.785521241750972,1.18434795703783
"9967","20200221_JOHNSTOWN (PA) - ALTOONA (PA)",0.466925902619789,-0.431916947684894,2.06030597372143
"9968","20200222_JOHNSTOWN (PA) - ALTOONA (PA)",7.02418370255632,6.31470007691025,4.39028725710075
"9969","20200223_JOHNSTOWN (PA) - ALTOONA (PA)",15.6709989189538,10.1031283110401,4.61634020147259
"9970","20200224_JOHNSTOWN (PA) - ALTOONA (PA)",4.42175592020696,2.95316004324185,2.80804303747089
"9971","20200225_JOHNSTOWN (PA) - ALTOONA (PA)",6.29647288510254,3.85728442271595,2.3525918216973
"9972","20200226_JOHNSTOWN (PA) - ALTOONA (PA)",13.214984322141,6.07668973974216,2.23701803357159
"9973","20200227_JOHNSTOWN (PA) - ALTOONA (PA)",-0.247119899317489,-1.78694919082886,0.720339803475483
"9974","20200228_JOHNSTOWN (PA) - ALTOONA (PA)",5.31873652053719,4.64606224889878,3.03454641775713
"9975","20200229_JOHNSTOWN (PA) - ALTOONA (PA)",9.10088016522258,7.96959086973124,4.148245854645
"9976","20200301_JOHNSTOWN (PA) - ALTOONA (PA)",24.7588944285783,16.7081000478672,4.60312562187048
"9977","20200302_JOHNSTOWN (PA) - ALTOONA (PA)",10.1486411625818,5.98473492854876,2.65593822439507
"9978","20200303_JOHNSTOWN (PA) - ALTOONA (PA)",14.4145597022551,9.85978266130984,2.19026278565704
"9979","20200304_JOHNSTOWN (PA) - ALTOONA (PA)",12.1744383669211,7.14654361026402,1.82342239863175
"9980","20200305_JOHNSTOWN (PA) - ALTOONA (PA)",13.1749600658309,8.22707886258881,1.73996939724952
"9981","20200306_JOHNSTOWN (PA) - ALTOONA (PA)",2.13774464720783,3.16941230886727,1.2051984338276
"9982","20200307_JOHNSTOWN (PA) - ALTOONA (PA)",8.68575708192824,8.73351001177856,1.82099407844846
