"","Group.1","Date","DMA","Total_Cases","Total_Deaths","CaseLagDay-1","NewCasesPerDay","DeathLagDay-1","NewDeathsPerDay","CaseLagDay-2","CaseLagDay-3","CaseLagDay-4","CaseLagDay-5","CaseLagDay-6","CaseLagDay-7","CaseLagDay-8","CaseLagDay-9","CaseLagDay-10","CaseLagDay-11","CaseLagDay-12","CaseLagDay-13","CaseLagDay-14","CaseLagDay+1","CaseLagDay+2","CaseLagDay+3","CaseLagDay+4","CaseLagDay+5","CaseLagDay+6","CaseLagDay+7","CaseLagDay+8","CaseLagDay+9","CaseLagDay+10","CaseLagDay+11","CaseLagDay+12","CaseLagDay+13","CaseLagDay+14"
"3196","20200327_GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",20200327,"GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",135,1,122,13,0,1,113,76,57,37,34,21,12,6,5,4,4,1,1,165,199,234,289,335,390,438,483,522,574,635,677,754,845
"3197","20200328_GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",20200328,"GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",165,1,135,30,1,0,122,113,76,57,37,34,21,12,6,5,4,4,1,199,234,289,335,390,438,483,522,574,635,677,754,845,915
"3198","20200329_GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",20200329,"GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",199,2,165,34,1,1,135,122,113,76,57,37,34,21,12,6,5,4,4,234,289,335,390,438,483,522,574,635,677,754,845,915,947
"3199","20200330_GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",20200330,"GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",234,3,199,35,2,1,165,135,122,113,76,57,37,34,21,12,6,5,4,289,335,390,438,483,522,574,635,677,754,845,915,947,1010
"3200","20200331_GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",20200331,"GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",289,3,234,55,3,0,199,165,135,122,113,76,57,37,34,21,12,6,5,335,390,438,483,522,574,635,677,754,845,915,947,1010,1055
"3201","20200401_GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",20200401,"GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",335,4,289,46,3,1,234,199,165,135,122,113,76,57,37,34,21,12,6,390,438,483,522,574,635,677,754,845,915,947,1010,1055,1093
"3202","20200402_GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",20200402,"GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",390,5,335,55,4,1,289,234,199,165,135,122,113,76,57,37,34,21,12,438,483,522,574,635,677,754,845,915,947,1010,1055,1093,1196
"3203","20200403_GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",20200403,"GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",438,7,390,48,5,2,335,289,234,199,165,135,122,113,76,57,37,34,21,483,522,574,635,677,754,845,915,947,1010,1055,1093,1196,1231
"3204","20200404_GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",20200404,"GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",483,7,438,45,7,0,390,335,289,234,199,165,135,122,113,76,57,37,34,522,574,635,677,754,845,915,947,1010,1055,1093,1196,1231,1310
"3205","20200405_GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",20200405,"GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",522,7,483,39,7,0,438,390,335,289,234,199,165,135,122,113,76,57,37,574,635,677,754,845,915,947,1010,1055,1093,1196,1231,1310,1353
"3206","20200406_GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",20200406,"GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",574,9,522,52,7,2,483,438,390,335,289,234,199,165,135,122,113,76,57,635,677,754,845,915,947,1010,1055,1093,1196,1231,1310,1353,1393
"3207","20200407_GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",20200407,"GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",635,11,574,61,9,2,522,483,438,390,335,289,234,199,165,135,122,113,76,677,754,845,915,947,1010,1055,1093,1196,1231,1310,1353,1393,1424
"3208","20200408_GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",20200408,"GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",677,16,635,42,11,5,574,522,483,438,390,335,289,234,199,165,135,122,113,754,845,915,947,1010,1055,1093,1196,1231,1310,1353,1393,1424,NA
"3209","20200409_GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",20200409,"GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",754,18,677,77,16,2,635,574,522,483,438,390,335,289,234,199,165,135,122,845,915,947,1010,1055,1093,1196,1231,1310,1353,1393,1424,NA,NA
"3210","20200410_GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",20200410,"GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",845,22,754,91,18,4,677,635,574,522,483,438,390,335,289,234,199,165,135,915,947,1010,1055,1093,1196,1231,1310,1353,1393,1424,NA,NA,NA
"3211","20200411_GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",20200411,"GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",915,24,845,70,22,2,754,677,635,574,522,483,438,390,335,289,234,199,165,947,1010,1055,1093,1196,1231,1310,1353,1393,1424,NA,NA,NA,NA
"3212","20200412_GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",20200412,"GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",947,25,915,32,24,1,845,754,677,635,574,522,483,438,390,335,289,234,199,1010,1055,1093,1196,1231,1310,1353,1393,1424,NA,NA,NA,NA,NA
"3213","20200413_GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",20200413,"GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",1010,28,947,63,25,3,915,845,754,677,635,574,522,483,438,390,335,289,234,1055,1093,1196,1231,1310,1353,1393,1424,NA,NA,NA,NA,NA,NA
"3214","20200414_GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",20200414,"GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",1055,29,1010,45,28,1,947,915,845,754,677,635,574,522,483,438,390,335,289,1093,1196,1231,1310,1353,1393,1424,NA,NA,NA,NA,NA,NA,NA
"3215","20200415_GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",20200415,"GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",1093,32,1055,38,29,3,1010,947,915,845,754,677,635,574,522,483,438,390,335,1196,1231,1310,1353,1393,1424,NA,NA,NA,NA,NA,NA,NA,NA
"3216","20200416_GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",20200416,"GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",1196,36,1093,103,32,4,1055,1010,947,915,845,754,677,635,574,522,483,438,390,1231,1310,1353,1393,1424,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3217","20200417_GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",20200417,"GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",1231,40,1196,35,36,4,1093,1055,1010,947,915,845,754,677,635,574,522,483,438,1310,1353,1393,1424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3218","20200418_GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",20200418,"GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",1310,40,1231,79,40,0,1196,1093,1055,1010,947,915,845,754,677,635,574,522,483,1353,1393,1424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3219","20200419_GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",20200419,"GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",1353,40,1310,43,40,0,1231,1196,1093,1055,1010,947,915,845,754,677,635,574,522,1393,1424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3220","20200420_GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",20200420,"GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",1393,42,1353,40,40,2,1310,1231,1196,1093,1055,1010,947,915,845,754,677,635,574,1424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3221","20200421_GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",20200421,"GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",1424,45,1393,31,42,3,1353,1310,1231,1196,1093,1055,1010,947,915,845,754,677,635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3222","20200313_GREENWOOD (MS) - GREENVILLE (MS)",20200313,"GREENWOOD (MS) - GREENVILLE (MS)",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,4,6,6,9,11,18,22,26,29,37,43
"3223","20200314_GREENWOOD (MS) - GREENVILLE (MS)",20200314,"GREENWOOD (MS) - GREENVILLE (MS)",1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,6,6,9,11,18,22,26,29,37,43,51
"3224","20200315_GREENWOOD (MS) - GREENVILLE (MS)",20200315,"GREENWOOD (MS) - GREENVILLE (MS)",1,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,6,6,9,11,18,22,26,29,37,43,51,60
"3225","20200316_GREENWOOD (MS) - GREENVILLE (MS)",20200316,"GREENWOOD (MS) - GREENVILLE (MS)",1,0,1,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,6,9,11,18,22,26,29,37,43,51,60,71
"3226","20200317_GREENWOOD (MS) - GREENVILLE (MS)",20200317,"GREENWOOD (MS) - GREENVILLE (MS)",4,0,1,3,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,9,11,18,22,26,29,37,43,51,60,71,80
"3227","20200318_GREENWOOD (MS) - GREENVILLE (MS)",20200318,"GREENWOOD (MS) - GREENVILLE (MS)",6,0,4,2,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9,11,18,22,26,29,37,43,51,60,71,80,88
"3228","20200319_GREENWOOD (MS) - GREENVILLE (MS)",20200319,"GREENWOOD (MS) - GREENVILLE (MS)",6,0,6,0,0,0,4,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,9,11,18,22,26,29,37,43,51,60,71,80,88,99
"3229","20200320_GREENWOOD (MS) - GREENVILLE (MS)",20200320,"GREENWOOD (MS) - GREENVILLE (MS)",9,0,6,3,0,0,6,4,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,11,18,22,26,29,37,43,51,60,71,80,88,99,110
"3230","20200321_GREENWOOD (MS) - GREENVILLE (MS)",20200321,"GREENWOOD (MS) - GREENVILLE (MS)",11,0,9,2,0,0,6,6,4,1,1,1,1,NA,NA,NA,NA,NA,NA,18,22,26,29,37,43,51,60,71,80,88,99,110,118
"3231","20200322_GREENWOOD (MS) - GREENVILLE (MS)",20200322,"GREENWOOD (MS) - GREENVILLE (MS)",18,0,11,7,0,0,9,6,6,4,1,1,1,1,NA,NA,NA,NA,NA,22,26,29,37,43,51,60,71,80,88,99,110,118,140
"3232","20200323_GREENWOOD (MS) - GREENVILLE (MS)",20200323,"GREENWOOD (MS) - GREENVILLE (MS)",22,0,18,4,0,0,11,9,6,6,4,1,1,1,1,NA,NA,NA,NA,26,29,37,43,51,60,71,80,88,99,110,118,140,151
"3233","20200324_GREENWOOD (MS) - GREENVILLE (MS)",20200324,"GREENWOOD (MS) - GREENVILLE (MS)",26,0,22,4,0,0,18,11,9,6,6,4,1,1,1,1,NA,NA,NA,29,37,43,51,60,71,80,88,99,110,118,140,151,167
"3234","20200325_GREENWOOD (MS) - GREENVILLE (MS)",20200325,"GREENWOOD (MS) - GREENVILLE (MS)",29,0,26,3,0,0,22,18,11,9,6,6,4,1,1,1,1,NA,NA,37,43,51,60,71,80,88,99,110,118,140,151,167,172
"3235","20200326_GREENWOOD (MS) - GREENVILLE (MS)",20200326,"GREENWOOD (MS) - GREENVILLE (MS)",37,0,29,8,0,0,26,22,18,11,9,6,6,4,1,1,1,1,NA,43,51,60,71,80,88,99,110,118,140,151,167,172,191
"3236","20200327_GREENWOOD (MS) - GREENVILLE (MS)",20200327,"GREENWOOD (MS) - GREENVILLE (MS)",43,0,37,6,0,0,29,26,22,18,11,9,6,6,4,1,1,1,1,51,60,71,80,88,99,110,118,140,151,167,172,191,211
"3237","20200328_GREENWOOD (MS) - GREENVILLE (MS)",20200328,"GREENWOOD (MS) - GREENVILLE (MS)",51,1,43,8,0,1,37,29,26,22,18,11,9,6,6,4,1,1,1,60,71,80,88,99,110,118,140,151,167,172,191,211,218
"3238","20200329_GREENWOOD (MS) - GREENVILLE (MS)",20200329,"GREENWOOD (MS) - GREENVILLE (MS)",60,1,51,9,1,0,43,37,29,26,22,18,11,9,6,6,4,1,1,71,80,88,99,110,118,140,151,167,172,191,211,218,226
"3239","20200330_GREENWOOD (MS) - GREENVILLE (MS)",20200330,"GREENWOOD (MS) - GREENVILLE (MS)",71,2,60,11,1,1,51,43,37,29,26,22,18,11,9,6,6,4,1,80,88,99,110,118,140,151,167,172,191,211,218,226,240
"3240","20200331_GREENWOOD (MS) - GREENVILLE (MS)",20200331,"GREENWOOD (MS) - GREENVILLE (MS)",80,3,71,9,2,1,60,51,43,37,29,26,22,18,11,9,6,6,4,88,99,110,118,140,151,167,172,191,211,218,226,240,251
"3241","20200401_GREENWOOD (MS) - GREENVILLE (MS)",20200401,"GREENWOOD (MS) - GREENVILLE (MS)",88,3,80,8,3,0,71,60,51,43,37,29,26,22,18,11,9,6,6,99,110,118,140,151,167,172,191,211,218,226,240,251,265
"3242","20200402_GREENWOOD (MS) - GREENVILLE (MS)",20200402,"GREENWOOD (MS) - GREENVILLE (MS)",99,3,88,11,3,0,80,71,60,51,43,37,29,26,22,18,11,9,6,110,118,140,151,167,172,191,211,218,226,240,251,265,283
"3243","20200403_GREENWOOD (MS) - GREENVILLE (MS)",20200403,"GREENWOOD (MS) - GREENVILLE (MS)",110,3,99,11,3,0,88,80,71,60,51,43,37,29,26,22,18,11,9,118,140,151,167,172,191,211,218,226,240,251,265,283,299
"3244","20200404_GREENWOOD (MS) - GREENVILLE (MS)",20200404,"GREENWOOD (MS) - GREENVILLE (MS)",118,3,110,8,3,0,99,88,80,71,60,51,43,37,29,26,22,18,11,140,151,167,172,191,211,218,226,240,251,265,283,299,314
"3245","20200405_GREENWOOD (MS) - GREENVILLE (MS)",20200405,"GREENWOOD (MS) - GREENVILLE (MS)",140,6,118,22,3,3,110,99,88,80,71,60,51,43,37,29,26,22,18,151,167,172,191,211,218,226,240,251,265,283,299,314,340
"3246","20200406_GREENWOOD (MS) - GREENVILLE (MS)",20200406,"GREENWOOD (MS) - GREENVILLE (MS)",151,7,140,11,6,1,118,110,99,88,80,71,60,51,43,37,29,26,22,167,172,191,211,218,226,240,251,265,283,299,314,340,363
"3247","20200407_GREENWOOD (MS) - GREENVILLE (MS)",20200407,"GREENWOOD (MS) - GREENVILLE (MS)",167,8,151,16,7,1,140,118,110,99,88,80,71,60,51,43,37,29,26,172,191,211,218,226,240,251,265,283,299,314,340,363,369
"3248","20200408_GREENWOOD (MS) - GREENVILLE (MS)",20200408,"GREENWOOD (MS) - GREENVILLE (MS)",172,9,167,5,8,1,151,140,118,110,99,88,80,71,60,51,43,37,29,191,211,218,226,240,251,265,283,299,314,340,363,369,NA
"3249","20200409_GREENWOOD (MS) - GREENVILLE (MS)",20200409,"GREENWOOD (MS) - GREENVILLE (MS)",191,10,172,19,9,1,167,151,140,118,110,99,88,80,71,60,51,43,37,211,218,226,240,251,265,283,299,314,340,363,369,NA,NA
"3250","20200410_GREENWOOD (MS) - GREENVILLE (MS)",20200410,"GREENWOOD (MS) - GREENVILLE (MS)",211,10,191,20,10,0,172,167,151,140,118,110,99,88,80,71,60,51,43,218,226,240,251,265,283,299,314,340,363,369,NA,NA,NA
"3251","20200411_GREENWOOD (MS) - GREENVILLE (MS)",20200411,"GREENWOOD (MS) - GREENVILLE (MS)",218,10,211,7,10,0,191,172,167,151,140,118,110,99,88,80,71,60,51,226,240,251,265,283,299,314,340,363,369,NA,NA,NA,NA
"3252","20200412_GREENWOOD (MS) - GREENVILLE (MS)",20200412,"GREENWOOD (MS) - GREENVILLE (MS)",226,10,218,8,10,0,211,191,172,167,151,140,118,110,99,88,80,71,60,240,251,265,283,299,314,340,363,369,NA,NA,NA,NA,NA
"3253","20200413_GREENWOOD (MS) - GREENVILLE (MS)",20200413,"GREENWOOD (MS) - GREENVILLE (MS)",240,10,226,14,10,0,218,211,191,172,167,151,140,118,110,99,88,80,71,251,265,283,299,314,340,363,369,NA,NA,NA,NA,NA,NA
"3254","20200414_GREENWOOD (MS) - GREENVILLE (MS)",20200414,"GREENWOOD (MS) - GREENVILLE (MS)",251,14,240,11,10,4,226,218,211,191,172,167,151,140,118,110,99,88,80,265,283,299,314,340,363,369,NA,NA,NA,NA,NA,NA,NA
"3255","20200415_GREENWOOD (MS) - GREENVILLE (MS)",20200415,"GREENWOOD (MS) - GREENVILLE (MS)",265,15,251,14,14,1,240,226,218,211,191,172,167,151,140,118,110,99,88,283,299,314,340,363,369,NA,NA,NA,NA,NA,NA,NA,NA
"3256","20200416_GREENWOOD (MS) - GREENVILLE (MS)",20200416,"GREENWOOD (MS) - GREENVILLE (MS)",283,16,265,18,15,1,251,240,226,218,211,191,172,167,151,140,118,110,99,299,314,340,363,369,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3257","20200417_GREENWOOD (MS) - GREENVILLE (MS)",20200417,"GREENWOOD (MS) - GREENVILLE (MS)",299,17,283,16,16,1,265,251,240,226,218,211,191,172,167,151,140,118,110,314,340,363,369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3258","20200418_GREENWOOD (MS) - GREENVILLE (MS)",20200418,"GREENWOOD (MS) - GREENVILLE (MS)",314,18,299,15,17,1,283,265,251,240,226,218,211,191,172,167,151,140,118,340,363,369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3259","20200419_GREENWOOD (MS) - GREENVILLE (MS)",20200419,"GREENWOOD (MS) - GREENVILLE (MS)",340,19,314,26,18,1,299,283,265,251,240,226,218,211,191,172,167,151,140,363,369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3260","20200420_GREENWOOD (MS) - GREENVILLE (MS)",20200420,"GREENWOOD (MS) - GREENVILLE (MS)",363,23,340,23,19,4,314,299,283,265,251,240,226,218,211,191,172,167,151,369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3261","20200421_GREENWOOD (MS) - GREENVILLE (MS)",20200421,"GREENWOOD (MS) - GREENVILLE (MS)",369,25,363,6,23,2,340,314,299,283,265,251,240,226,218,211,191,172,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3262","20200319_HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)",20200319,"HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,6,6,8,8,20,34,34,51,52,68,78,106
"3263","20200320_HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)",20200320,"HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)",1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,8,8,20,34,34,51,52,68,78,106,144
"3264","20200321_HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)",20200321,"HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)",6,0,1,5,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,8,8,20,34,34,51,52,68,78,106,144,158
"3265","20200322_HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)",20200322,"HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)",6,0,6,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,8,20,34,34,51,52,68,78,106,144,158,174
"3266","20200323_HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)",20200323,"HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)",6,0,6,0,0,0,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,20,34,34,51,52,68,78,106,144,158,174,197
"3267","20200324_HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)",20200324,"HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)",8,0,6,2,0,0,6,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,20,34,34,51,52,68,78,106,144,158,174,197,241
"3268","20200325_HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)",20200325,"HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)",8,0,8,0,0,0,6,6,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,20,34,34,51,52,68,78,106,144,158,174,197,241,248
"3269","20200326_HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)",20200326,"HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)",20,0,8,12,0,0,8,6,6,6,1,1,NA,NA,NA,NA,NA,NA,NA,34,34,51,52,68,78,106,144,158,174,197,241,248,277
"3270","20200327_HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)",20200327,"HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)",34,0,20,14,0,0,8,8,6,6,6,1,1,NA,NA,NA,NA,NA,NA,34,51,52,68,78,106,144,158,174,197,241,248,277,305
"3271","20200328_HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)",20200328,"HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)",34,0,34,0,0,0,20,8,8,6,6,6,1,1,NA,NA,NA,NA,NA,51,52,68,78,106,144,158,174,197,241,248,277,305,359
"3272","20200329_HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)",20200329,"HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)",51,0,34,17,0,0,34,20,8,8,6,6,6,1,1,NA,NA,NA,NA,52,68,78,106,144,158,174,197,241,248,277,305,359,395
"3273","20200330_HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)",20200330,"HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)",52,0,51,1,0,0,34,34,20,8,8,6,6,6,1,1,NA,NA,NA,68,78,106,144,158,174,197,241,248,277,305,359,395,397
"3274","20200331_HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)",20200331,"HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)",68,0,52,16,0,0,51,34,34,20,8,8,6,6,6,1,1,NA,NA,78,106,144,158,174,197,241,248,277,305,359,395,397,426
"3275","20200401_HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)",20200401,"HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)",78,0,68,10,0,0,52,51,34,34,20,8,8,6,6,6,1,1,NA,106,144,158,174,197,241,248,277,305,359,395,397,426,469
"3276","20200402_HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)",20200402,"HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)",106,0,78,28,0,0,68,52,51,34,34,20,8,8,6,6,6,1,1,144,158,174,197,241,248,277,305,359,395,397,426,469,493
"3277","20200403_HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)",20200403,"HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)",144,0,106,38,0,0,78,68,52,51,34,34,20,8,8,6,6,6,1,158,174,197,241,248,277,305,359,395,397,426,469,493,535
"3278","20200404_HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)",20200404,"HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)",158,1,144,14,0,1,106,78,68,52,51,34,34,20,8,8,6,6,6,174,197,241,248,277,305,359,395,397,426,469,493,535,568
"3279","20200405_HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)",20200405,"HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)",174,1,158,16,1,0,144,106,78,68,52,51,34,34,20,8,8,6,6,197,241,248,277,305,359,395,397,426,469,493,535,568,568
"3280","20200406_HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)",20200406,"HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)",197,1,174,23,1,0,158,144,106,78,68,52,51,34,34,20,8,8,6,241,248,277,305,359,395,397,426,469,493,535,568,568,574
