"","Category","Total Cases","Total Deaths"
"259","20200226_CHICAGO (IL)",2,0
"260","20200226_EUREKA (CA)",1,0
"261","20200226_LOS ANGELES (CA)",2,0
"262","20200226_MADISON (WI)",1,0
"263","20200226_OMAHA (NE)",13,0
"264","20200226_PHOENIX (AZ)",1,0
"265","20200226_SACRAMENTO (CA) - STOCKTON (CA) - MODESTO (CA)",14,0
"266","20200226_SALT LAKE CITY (UT)",1,0
"267","20200226_SAN ANTONIO (TX)",10,0
"268","20200226_SAN DIEGO (CA)",1,0
"269","20200226_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",8,0
"270","20200226_SEATTLE (WA) - TACOMA (WA)",1,0
"271","20200226_SPOKANE (WA)",4,0
"272","20200227_BOSTON (MA) - MANCHESTER (NH)",1,0
"273","20200227_CHICAGO (IL)",2,0
"274","20200227_EUREKA (CA)",1,0
"275","20200227_LOS ANGELES (CA)",2,0
"276","20200227_MADISON (WI)",1,0
"277","20200227_OMAHA (NE)",13,0
"278","20200227_PHOENIX (AZ)",1,0
"279","20200227_SACRAMENTO (CA) - STOCKTON (CA) - MODESTO (CA)",14,0
"280","20200227_SALT LAKE CITY (UT)",1,0
"281","20200227_SAN ANTONIO (TX)",10,0
"282","20200227_SAN DIEGO (CA)",1,0
"283","20200227_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",8,0
"284","20200227_SEATTLE (WA) - TACOMA (WA)",1,0
"285","20200227_SPOKANE (WA)",4,0
"286","20200228_BOSTON (MA) - MANCHESTER (NH)",1,0
"287","20200228_CHICAGO (IL)",2,0
"288","20200228_EUREKA (CA)",1,0
"289","20200228_LOS ANGELES (CA)",2,0
"290","20200228_MADISON (WI)",1,0
"291","20200228_OMAHA (NE)",13,0
"292","20200228_PHOENIX (AZ)",1,0
"293","20200228_PORTLAND (OR)",1,0
"294","20200228_SACRAMENTO (CA) - STOCKTON (CA) - MODESTO (CA)",14,0
"295","20200228_SALT LAKE CITY (UT)",1,0
"296","20200228_SAN ANTONIO (TX)",11,0
"297","20200228_SAN DIEGO (CA)",1,0
"298","20200228_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",9,0
"299","20200228_SEATTLE (WA) - TACOMA (WA)",3,0
"300","20200228_SPOKANE (WA)",4,0
"301","20200229_BOSTON (MA) - MANCHESTER (NH)",1,0
"302","20200229_CHICAGO (IL)",3,0
"303","20200229_EUREKA (CA)",1,0
"304","20200229_LOS ANGELES (CA)",2,0
"305","20200229_MADISON (WI)",1,0
"306","20200229_OMAHA (NE)",13,0
"307","20200229_PHOENIX (AZ)",1,0
"308","20200229_PORTLAND (OR)",1,0
"309","20200229_SACRAMENTO (CA) - STOCKTON (CA) - MODESTO (CA)",14,0
"310","20200229_SALT LAKE CITY (UT)",1,0
"311","20200229_SAN ANTONIO (TX)",11,0
"312","20200229_SAN DIEGO (CA)",1,0
"313","20200229_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",10,0
"314","20200229_SEATTLE (WA) - TACOMA (WA)",6,1
"315","20200229_SPOKANE (WA)",4,0
"316","20200301_BOSTON (MA) - MANCHESTER (NH)",1,0
"317","20200301_CHICAGO (IL)",3,0
"318","20200301_EUREKA (CA)",1,0
"319","20200301_LOS ANGELES (CA)",2,0
"320","20200301_MADISON (WI)",1,0
"321","20200301_NEW YORK (NY)",1,0
"322","20200301_OMAHA (NE)",13,0
"323","20200301_PHOENIX (AZ)",1,0
"324","20200301_PORTLAND (OR)",2,0
"325","20200301_PROVIDENCE (RI) - NEW BEDFORD (MA)",2,0
"326","20200301_SACRAMENTO (CA) - STOCKTON (CA) - MODESTO (CA)",15,0
"327","20200301_SALT LAKE CITY (UT)",1,0
"328","20200301_SAN ANTONIO (TX)",11,0
"329","20200301_SAN DIEGO (CA)",1,0
"330","20200301_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",14,0
"331","20200301_SEATTLE (WA) - TACOMA (WA)",13,3
"332","20200301_SPOKANE (WA)",4,0
"333","20200301_TAMPA (FL) - ST. PETERSBURG (FL) - SARASOTA (FL)",2,0
"334","20200302_ATLANTA (GA)",2,0
"335","20200302_BOSTON (MA) - MANCHESTER (NH)",2,0
"336","20200302_BURLINGTON (VT) - PLATTSBURGH (NY)",1,0
"337","20200302_CHICAGO (IL)",4,0
"338","20200302_EUREKA (CA)",1,0
"339","20200302_LOS ANGELES (CA)",2,0
"340","20200302_MADISON (WI)",1,0
"341","20200302_NEW YORK (NY)",1,0
"342","20200302_OMAHA (NE)",13,0
"343","20200302_PHOENIX (AZ)",1,0
"344","20200302_PORTLAND (OR)",2,0
"345","20200302_PROVIDENCE (RI) - NEW BEDFORD (MA)",2,0
"346","20200302_SACRAMENTO (CA) - STOCKTON (CA) - MODESTO (CA)",16,0
"347","20200302_SALT LAKE CITY (UT)",1,0
"348","20200302_SAN ANTONIO (TX)",11,0
"349","20200302_SAN DIEGO (CA)",1,0
"350","20200302_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",18,0
"351","20200302_SEATTLE (WA) - TACOMA (WA)",18,6
"352","20200302_SPOKANE (WA)",4,0
"353","20200302_TAMPA (FL) - ST. PETERSBURG (FL) - SARASOTA (FL)",2,0
"354","20200302_YAKIMA (WA) - PASCO (WA) - RICHLAND (WA) - KENNEWICK (WA)",1,0
"355","20200303_ATLANTA (GA)",2,0
"356","20200303_BOSTON (MA) - MANCHESTER (NH)",2,0
"357","20200303_BURLINGTON (VT) - PLATTSBURGH (NY)",2,0
"358","20200303_CHICAGO (IL)",4,0
"359","20200303_EUREKA (CA)",1,0
"360","20200303_LOS ANGELES (CA)",4,0
"361","20200303_MADISON (WI)",1,0
"362","20200303_NEW YORK (NY)",2,0
"363","20200303_OMAHA (NE)",13,0
"364","20200303_PHOENIX (AZ)",2,0
"365","20200303_PORTLAND (OR)",2,0
"366","20200303_PROVIDENCE (RI) - NEW BEDFORD (MA)",2,0
"367","20200303_RALEIGH (NC) - DURHAM (NC) - FAYETTEVILLE (NC)",1,0
"368","20200303_SACRAMENTO (CA) - STOCKTON (CA) - MODESTO (CA)",17,0
"369","20200303_SALT LAKE CITY (UT)",1,0
"370","20200303_SAN ANTONIO (TX)",11,0
"371","20200303_SAN DIEGO (CA)",1,0
